PROFILE,OIO,VM_Name,TBytes,RBytes,WBytes,TIOS,RIOS,WIOS,TBW,RBW,WBW,TIOPS,RIOPS,WIOPS,TLAT,RLAT,WLAT
128K - 1 Thread - 100% reads -random ,1,stress-test-vm-10.90.1.4-1.txt,201933324288,201933324288,0,1540629,1540629,0,641.90,641.90,0.00,5135.20,5135.20,0.00,0.195,0.195,0.000
128K - 1 Thread - 100% reads -random ,1,stress-test-vm-10.90.1.5-1.txt,201900032000,201900032000,0,1540375,1540375,0,641.82,641.82,0.00,5134.57,5134.57,0.00,0.195,0.195,0.000
128K - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.4-1.txt,203817877504,203817877504,0,1555007,1555007,0,647.91,647.91,0.00,5183.29,5183.29,0.00,0.193,0.193,0.000
128K - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.5-1.txt,203821154304,203821154304,0,1555032,1555032,0,647.90,647.90,0.00,5183.19,5183.19,0.00,0.193,0.193,0.000
128K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.4-1.txt,86600843264,0,86600843264,660712,0,660712,275.29,0.00,275.29,2202.35,0.00,2202.35,0.454,0.000,0.454
128K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.5-1.txt,86551298048,0,86551298048,660334,0,660334,275.13,0.00,275.13,2201.05,0.00,2201.05,0.454,0.000,0.454
128K - 1 Thread - 100% writes -seq ,1,stress-test-vm-10.90.1.4-1.txt,91309342720,0,91309342720,696635,0,696635,290.26,0.00,290.26,2322.07,0.00,2322.07,0.430,0.000,0.430
128K - 1 Thread - 100% writes -seq ,1,stress-test-vm-10.90.1.5-1.txt,90792394752,0,90792394752,692691,0,692691,288.62,0.00,288.62,2308.95,0.00,2308.95,0.433,0.000,0.433
16K - 1 Thread - 100% reads -random ,1,stress-test-vm-10.90.1.4-1.txt,31027740672,31027740672,0,1893783,1893783,0,98.63,98.63,0.00,6312.53,6312.53,0.00,0.158,0.158,0.000
16K - 1 Thread - 100% reads -random ,1,stress-test-vm-10.90.1.5-1.txt,30995922944,30995922944,0,1891841,1891841,0,98.53,98.53,0.00,6306.05,6306.05,0.00,0.158,0.158,0.000
16K - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.4-1.txt,51393462272,51393462272,0,3136808,3136808,0,163.37,163.37,0.00,10455.97,10455.97,0.00,0.095,0.095,0.000
16K - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.5-1.txt,51473809408,51473809408,0,3141712,3141712,0,163.62,163.62,0.00,10471.95,10471.95,0.00,0.095,0.095,0.000
16K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.4-1.txt,19682213888,0,19682213888,1201307,0,1201307,62.57,0.00,62.57,4004.21,0.00,4004.21,0.249,0.000,0.249
16K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.5-1.txt,19660177408,0,19660177408,1199962,0,1199962,62.50,0.00,62.50,3999.75,0.00,3999.75,0.249,0.000,0.249
16K - 1 Thread - 100% writes -seq ,1,stress-test-vm-10.90.1.4-1.txt,20498759680,0,20498759680,1251145,0,1251145,65.16,0.00,65.16,4170.47,0.00,4170.47,0.239,0.000,0.239
16K - 1 Thread - 100% writes -seq ,1,stress-test-vm-10.90.1.5-1.txt,20441579520,0,20441579520,1247655,0,1247655,64.98,0.00,64.98,4158.82,0.00,4158.82,0.240,0.000,0.240
1m - 1 Thread - 100% reads -random ,1,stress-test-vm-10.90.1.4-1.txt,540494790656,540494790656,0,515456,515456,0,1718.15,1718.15,0.00,1718.15,1718.15,0.00,0.582,0.582,0.000
1m - 1 Thread - 100% reads -random ,1,stress-test-vm-10.90.1.5-1.txt,540458090496,540458090496,0,515421,515421,0,1718.03,1718.03,0.00,1718.03,1718.03,0.00,0.582,0.582,0.000
1m - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.4-1.txt,520290828288,520290828288,0,496188,496188,0,1653.92,1653.92,0.00,1653.92,1653.92,0.00,0.604,0.604,0.000
1m - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.5-1.txt,520607498240,520607498240,0,496490,496490,0,1654.92,1654.92,0.00,1654.92,1654.92,0.00,0.604,0.604,0.000
1m - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.4-1.txt,132251648000,0,132251648000,126125,0,126125,420.40,0.00,420.40,420.40,0.00,420.40,2.378,0.000,2.378
1m - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.5-1.txt,132123721728,0,132123721728,126003,0,126003,420.00,0.00,420.00,420.00,0.00,420.00,2.380,0.000,2.380
